0.0	426.0
0.01	426.0
0.02	426.0
0.03	426.0
0.04	426.0
0.05	426.0
0.06	426.0
0.07	426.0
0.08	426.0
0.09	426.0
0.1	426.0
0.11	426.0
0.12	426.0
0.13	426.0
0.14	426.0
0.15	426.0
0.16	426.0
0.17	426.0
0.18	426.0
0.19	426.0
0.2	426.0
0.21	426.0
0.22	426.0
0.23	426.0
0.24	426.0
0.25	426.0
0.26	426.0
0.27	426.0
0.28	426.0
0.29	426.0
0.3	426.0
0.31	426.0
0.32	426.0
0.33	426.0
0.34	426.0
0.35	426.0
0.36	426.0
0.37	426.0
0.38	426.0
0.39	426.0
0.4	426.0
0.41	426.0
0.42	426.0
0.43	426.0
0.44	426.0
0.45	426.0
0.46	426.0
0.47	426.0
0.48	426.0
0.49	426.0
0.5	426.0
0.51	426.0
0.52	426.0
0.53	426.0
0.54	426.0
0.55	426.0
0.56	426.0
0.57	426.0
0.58	426.0
0.59	426.0
0.6	426.0
0.61	426.0
0.62	426.0
0.63	426.0
0.64	426.0
0.65	426.0
0.66	426.0
0.67	426.0
0.68	426.0
0.69	426.0
0.7	426.0
0.71	426.0
0.72	426.0
0.73	426.0
0.74	426.0
0.75	426.0
0.76	426.0
0.77	426.0
0.78	426.0
0.79	426.0
0.8	426.0
0.81	426.0
0.82	426.0
0.83	426.0
0.84	426.0
0.85	426.0
0.86	426.0
0.87	426.0
0.88	426.0
0.89	426.0
0.9	426.0
0.91	426.0
0.92	426.0
0.93	426.0
0.94	426.0
0.95	426.0
0.96	426.0
0.97	426.0
0.98	426.0
0.99	426.0
